89.248.168.108 - - [03/Jan/2021:00:21:07 +0900] "HEAD / HTTP/1.0" 404 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/ElLaurelHijo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Marcala.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Cerrado.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/TanzaniaAA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/KenyaAA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Supremo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/maxim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/kanu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/cafe_americano.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Fortissio_Lungo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Volluto.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/view/img/Linizio_Lungo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:36 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:40 +0900] "GET /Coffeesazo/whole HTTP/1.1" 200 8170
0:0:0:0:0:0:0:1 - - [03/Jan/2021:00:47:40 +0900] "GET /Coffeesazo/view/img/ HTTP/1.1" 404 839
